"1","#",16,"#"
"2","#",7,"#"
"1","&",13,"AND"
"2","&",1,"AND"
"3","&",7,"AND"
"1","-","9","-"
"1","1 / 2",25,"1/2"
"1","1 / 2 MILE",1,"1/2 MI"
"1","1 / 3",25,"1/3"
"1","1 / 4",25,"1/4"
"1","1 MI",1,"ONE MILE"
"1","1 MILE",1,"ONE MILE"
"1","1/2",25,"1/2"
"1","1/2 MILE",1,"1/2 MI"
"1","1/3",25,"1/3"
"1","1/4",25,"1/4"
"1","10 MI",1,"TEN MILE"
"1","10 MILE",1,"TEN MILE"
"1","10MI",1,"TEN MILE"
"1","100 MILE",1,"ONE HUNDRED MILE"
"1","11 MI",1,"ELEVEN MILE"
"1","11 MILE",1,"ELEVEN MILE"
"1","11MI",1,"ELEVEN MILE"
"1","12 MI",1,"TWELVE MILE"
"1","12 MILE",1,"TWELVE MILE"
"1","12MI",1,"TWELVE MILE"
"1","13 MI",1,"THIRTEEN MILE"
"1","13 MILE",1,"THIRTEEN MILE"
"1","13MI",1,"THIRTEEN MILE"
"1","14 MI",1,"FOURTEEN MILE"
"1","14 MILE",1,"FOURTEEN MILE"
"1","14MI",1,"FOURTEEN MILE"
"1","15 MI",1,"FIFTEEN MI"
"1","15 MILE",1,"FIFTEEN MI"
"1","15MI",1,"FIFTEEN MI"
"1","16 MI",1,"SIXTEEN MILE"
"1","16 MILE",1,"SIXTEEN MILE"
"1","16MI",1,"SIXTEEN MILE"
"1","17 MI",1,"SEVENTEEN MILE"
"1","17 MILE",1,"SEVENTEEN MILE"
"1","17MI",1,"SEVENTEEN MILE"
"1","18 MI",1,"EIGHTEEEN MILE"
"1","18 MILE",1,"EIGHTEEEN MILE"
"1","18MI",1,"EIGHTEEEN MILE"
"1","19 MI",1,"NINETEEN MILE"
"1","19 MILE",1,"NINETEEN MILE"
"1","19MI",1,"NINETEEN MILE"
"1","1ER",1,"PREMIERE"
"1","1ER",15,"1"
"1","1MI",1,"ONE MILE"
"1","1RE",1,"PREMIERE"
"1","1RE",15,"1"
"1","1ST",1,"1"
"2","1ST",15,"1"
"1","2 MI",1,"TWO MILE"
"1","2 MILE",1,"TWO MILE"
"1","20 MI",1,"TWENTY MILE"
"1","20 MILE",1,"TWENTY MILE"
"1","20MI",1,"TWENTY MILE"
"1","21ST",1,"21"
"2","21ST",15,"21"
"1","22ND",1,"22"
