"1","AB",11,"ALBERTA"
"2","AB",1,"ALBERTA"
"3","AB",6,"ALBERTA"
"1","AFB",1,"AIR FORCE BASE"
"1","A F B",1,"AIR FORCE BASE"
"1","AIR FORCE BASE",1,"AIR FORCE BASE"
"1","AK",11,"ALASKA"
"2","AK",1,"ALASKA"
"3","AK",6,"ALASKA"
"1","AL",11,"ALABAMA"
"2","AL",1,"ALABAMA"
"3","AL",6,"ALABAMA"
"1","ALA",11,"ALABAMA"
"2","ALA",1,"ALABAMA"
"3","ALA",6,"ALABAMA"
"1","ALABAMA",11,"ALABAMA"
"2","ALABAMA",1,"ALABAMA"
"1","ALASKA",11,"ALASKA"
"2","ALASKA",1,"ALASKA"
"1","ALBERTA",11,"ALBERTA"
"2","ALBERTA",1,"ALBERTA"
"1","AR",11,"ARKANSAS"
"2","AR",1,"ARKANSAS"
"3","AR",6,"ARKANSAS"
"1","ARIZ",11,"ARIZONA"
"2","ARIZ",1,"ARIZONA"
"3","ARIZ",6,"ARIZONA"
"1","ARIZONA",11,"ARIZONA"
"2","ARIZONA",1,"ARIZONA"
"1","ARK",11,"ARKANSAS"
"2","ARK",1,"ARKANSAS"
"3","ARK",6,"ARKANSAS"
"1","ARKANSAS",11,"ARKANSAS"
"2","ARKANSAS",1,"ARKANSAS"
"1","AZ",11,"ARIZONA"
"2","AZ",1,"ARIZONA"
"3","AZ",6,"ARIZONA"
"1","B C",11,"BRITISH COLUMBIA"
"2","B C",1,"BRITISH COLUMBIA"
"3","B C",6,"BRITISH COLUMBIA"
"1","BC",11,"BRITISH COLUMBIA"
"2","BC",1,"BRITISH COLUMBIA"
"3","BC",6,"BRITISH COLUMBIA"
"1","BRITISH COLUMBIA",11,"BRITISH COLUMBIA"
"2","BRITISH COLUMBIA",1,"BRITISH COLUMBIA"
"1","CA",11,"CALIFORNIA"
"2","CA",1,"CALIFORNIA"
"3","CA",6,"CALIFORNIA"
"4","CA",12,"CANADA"
"5","CA",2,"CARRE"
"1","CALIF",11,"CALIFORNIA"
"2","CALIF",1,"CALIFORNIA"
"3","CALIF",6,"CALIFORNIA"
"1","CALIFORNIA",11,"CALIFORNIA"
"2","CALIFORNIA",1,"CALIFORNIA"
"1","CANADA",12,"CANADA"
"2","CANADA",1,"CANADA"
"1","CO",11,"COLORADO"
"2","CO",1,"COLORADO"
"3","CO",6,"COLORADO"
"1","COLOMBIE BRITANNIQUE",11,"BRITISH COLUMBIA"
"2","COLOMBIE BRITANNIQUE",1,"BRITISH COLUMBIA"
"1","COLORADO",11,"COLORADO"
"2","COLORADO",1,"COLORADO"
"1","CONN",11,"CONNECTICUT"
"2","CONN",1,"CONNECTICUT"
"3","CONN",6,"CONNECTICUT"
"1","CONNECTICUT",11,"CONNECTICUT"
"2","CONNECTICUT",1,"CONNECTICUT"
"1","CT",11,"CONNECTICUT"
"2","CT",1,"CONNECTICUT"
